"id"|"HDate"|"Vendor"|"Country"
1|1999-12-24 00:00:00|"Russell"|"USA"
2|2000-01-17 00:00:00|"Russell"|"USA"
3|2000-02-21 00:00:00|"Russell"|"USA"
4|2000-04-21 00:00:00|"Russell"|"USA"
5|2000-05-29 00:00:00|"Russell"|"USA"
6|2000-07-04 00:00:00|"Russell"|"USA"
7|2000-09-04 00:00:00|"Russell"|"USA"
8|2000-11-23 00:00:00|"Russell"|"USA"
9|2000-12-25 00:00:00|"Russell"|"USA"
10|2001-01-01 00:00:00|"Russell"|"USA"
11|2001-01-15 00:00:00|"Russell"|"USA"
12|2001-02-19 00:00:00|"Russell"|"USA"
13|2001-04-13 00:00:00|"Russell"|"USA"
14|2001-05-28 00:00:00|"Russell"|"USA"
15|2001-07-04 00:00:00|"Russell"|"USA"
16|2001-09-03 00:00:00|"Russell"|"USA"
17|2001-11-22 00:00:00|"Russell"|"USA"
18|2001-12-25 00:00:00|"Russell"|"USA"
19|2002-01-01 00:00:00|"Russell"|"USA"
20|2002-01-21 00:00:00|"Russell"|"USA"
21|2002-02-18 00:00:00|"Russell"|"USA"
22|2002-03-29 00:00:00|"Russell"|"USA"
23|2002-05-27 00:00:00|"Russell"|"USA"
24|2002-07-04 00:00:00|"Russell"|"USA"
25|2002-09-02 00:00:00|"Russell"|"USA"
26|2002-11-28 00:00:00|"Russell"|"USA"
27|2002-12-25 00:00:00|"Russell"|"USA"
28|2003-01-01 00:00:00|"Russell"|"USA"
29|2003-01-20 00:00:00|"Russell"|"USA"
30|2003-02-17 00:00:00|"Russell"|"USA"
31|2003-04-18 00:00:00|"Russell"|"USA"
32|2003-05-26 00:00:00|"Russell"|"USA"
33|2003-07-04 00:00:00|"Russell"|"USA"
34|2003-09-01 00:00:00|"Russell"|"USA"
35|2003-11-27 00:00:00|"Russell"|"USA"
36|2003-12-25 00:00:00|"Russell"|"USA"
37|2004-01-01 00:00:00|"Russell"|"USA"
38|2004-01-19 00:00:00|"Russell"|"USA"
39|2004-02-16 00:00:00|"Russell"|"USA"
40|2004-04-09 00:00:00|"Russell"|"USA"
41|2004-05-31 00:00:00|"Russell"|"USA"
42|2004-06-11 00:00:00|"Russell"|"USA"
43|2004-07-05 00:00:00|"Russell"|"USA"
44|2004-09-06 00:00:00|"Russell"|"USA"
45|2004-11-25 00:00:00|"Russell"|"USA"
46|2004-12-24 00:00:00|"Russell"|"USA"
47|2005-01-17 00:00:00|"Russell"|"USA"
48|2005-02-21 00:00:00|"Russell"|"USA"
49|2005-03-25 00:00:00|"Russell"|"USA"
50|2005-05-30 00:00:00|"Russell"|"USA"
51|2005-07-04 00:00:00|"Russell"|"USA"
52|2005-09-05 00:00:00|"Russell"|"USA"
53|2005-11-24 00:00:00|"Russell"|"USA"
54|2005-12-26 00:00:00|"Russell"|"USA"
55|2006-01-02 00:00:00|"Russell"|"USA"
56|2006-01-16 00:00:00|"Russell"|"USA"
57|2006-02-20 00:00:00|"Russell"|"USA"
58|2006-04-14 00:00:00|"Russell"|"USA"
59|2006-05-29 00:00:00|"Russell"|"USA"
60|2006-07-04 00:00:00|"Russell"|"USA"
61|2006-09-04 00:00:00|"Russell"|"USA"
62|2006-11-23 00:00:00|"Russell"|"USA"
63|2006-12-25 00:00:00|"Russell"|"USA"
64|2007-01-01 00:00:00|"Russell"|"USA"
65|2007-01-02 00:00:00|"Russell"|"USA"
66|2007-01-15 00:00:00|"Russell"|"USA"
67|2007-02-19 00:00:00|"Russell"|"USA"
111|2010-01-01 00:00:00|"Russell"|"USA"
69|2007-04-06 00:00:00|"Russell"|"USA"
70|2007-05-28 00:00:00|"Russell"|"USA"
71|2007-07-04 00:00:00|"Russell"|"USA"
72|2007-09-03 00:00:00|"Russell"|"USA"
73|2007-11-22 00:00:00|"Russell"|"USA"
74|2007-12-25 00:00:00|"Russell"|"USA"
75|2008-01-01 00:00:00|"Russell"|"USA"
76|2008-01-21 00:00:00|"Russell"|"USA"
77|2008-02-18 00:00:00|"Russell"|"USA"
78|2008-03-21 00:00:00|"Russell"|"USA"
79|2008-05-26 00:00:00|"Russell"|"USA"
80|2008-07-04 00:00:00|"Russell"|"USA"
81|2008-09-01 00:00:00|"Russell"|"USA"
82|2008-11-27 00:00:00|"Russell"|"USA"
83|2008-12-25 00:00:00|"Russell"|"USA"
84|2009-01-01 00:00:00|"Russell"|"USA"
85|2009-01-19 00:00:00|"Russell"|"USA"
86|2009-02-16 00:00:00|"Russell"|"USA"
87|2009-04-10 00:00:00|"Russell"|"USA"
88|2009-05-25 00:00:00|"Russell"|"USA"
89|2009-07-03 00:00:00|"Russell"|"USA"
90|2009-09-07 00:00:00|"Russell"|"USA"
91|2009-11-26 00:00:00|"Russell"|"USA"
92|2009-12-25 00:00:00|"Russell"|"USA"
94|2010-01-18 00:00:00|"Russell"|"USA"
95|2010-02-15 00:00:00|"Russell"|"USA"
96|2010-04-02 00:00:00|"Russell"|"USA"
97|2010-05-31 00:00:00|"Russell"|"USA"
98|2010-07-05 00:00:00|"Russell"|"USA"
99|2010-09-06 00:00:00|"Russell"|"USA"
100|2010-11-25 00:00:00|"Russell"|"USA"
101|2010-12-24 00:00:00|"Russell"|"USA"
102|2011-01-17 00:00:00|"Russell"|"USA"
103|2011-02-21 00:00:00|"Russell"|"USA"
104|2011-04-22 00:00:00|"Russell"|"USA"
105|2011-05-30 00:00:00|"Russell"|"USA"
106|2011-07-04 00:00:00|"Russell"|"USA"
107|2011-09-05 00:00:00|"Russell"|"USA"
108|2011-11-24 00:00:00|"Russell"|"USA"
109|2011-12-26 00:00:00|"Russell"|"USA"
112|2012-01-02 00:00:00|"Russell"|"USA"
113|2012-01-16 00:00:00|"Russell"|"USA"
114|2012-02-20 00:00:00|"Russell"|"USA"
115|2012-04-06 00:00:00|"Russell"|"USA"
116|2012-05-28 00:00:00|"Russell"|"USA"
117|2012-07-04 00:00:00|"Russell"|"USA"
118|2012-09-03 00:00:00|"Russell"|"USA"
119|2012-11-22 00:00:00|"Russell"|"USA"
120|2012-12-25 00:00:00|"Russell"|"USA"
121|2013-01-01 00:00:00|"Russell"|"USA"
122|2013-01-21 00:00:00|"Russell"|"USA"
123|2013-02-18 00:00:00|"Russell"|"USA"
124|2013-03-29 00:00:00|"Russell"|"USA"
125|2013-05-27 00:00:00|"Russell"|"USA"
126|2013-07-04 00:00:00|"Russell"|"USA"
127|2013-09-02 00:00:00|"Russell"|"USA"
128|2013-11-28 00:00:00|"Russell"|"USA"
129|2013-12-25 00:00:00|"Russell"|"USA"
130|2014-01-01 00:00:00|"Russell"|"USA"
131|2014-01-20 00:00:00|"Russell"|"USA"
132|2014-02-17 00:00:00|"Russell"|"USA"
133|2014-04-18 00:00:00|"Russell"|"USA"
134|2014-05-26 00:00:00|"Russell"|"USA"
135|2014-07-04 00:00:00|"Russell"|"USA"
136|2014-09-01 00:00:00|"Russell"|"USA"
137|2014-11-27 00:00:00|"Russell"|"USA"
138|2014-12-25 00:00:00|"Russell"|"USA"
139|2015-01-01 00:00:00|"Russell"|"USA"
140|2015-01-19 00:00:00|"Russell"|"USA"
141|2015-02-16 00:00:00|"Russell"|"USA"
142|2015-04-03 00:00:00|"Russell"|"USA"
143|2015-05-25 00:00:00|"Russell"|"USA"
144|2015-09-07 00:00:00|"Russell"|"USA"
145|2015-07-03 00:00:00|"Russell"|"USA"
146|2015-11-26 00:00:00|"Russell"|"USA"
147|2015-12-25 00:00:00|"Russell"|"USA"
148|2016-01-01 00:00:00|"Russell"|"USA"
149|2016-01-18 00:00:00|"Russell"|"USA"
150|2016-02-15 00:00:00|"Russell"|"USA"
151|2016-03-25 00:00:00|"Russell"|"USA"
152|2016-05-30 00:00:00|"Russell"|"USA"
153|2016-07-04 00:00:00|"Russell"|"USA"
154|2016-09-05 00:00:00|"Russell"|"USA"
155|2016-11-24 00:00:00|"Russell"|"USA"
156|2016-12-26 00:00:00|"Russell"|"USA"
157|2017-01-02 00:00:00|"Russell"|"USA"
158|2017-01-16 00:00:00|"Russell"|"USA"
159|2017-02-20 00:00:00|"Russell"|"USA"
160|2017-04-14 00:00:00|"Russell"|"USA"
161|2017-05-29 00:00:00|"Russell"|"USA"
162|2017-07-04 00:00:00|"Russell"|"USA"
163|2017-09-04 00:00:00|"Russell"|"USA"
164|2017-11-23 00:00:00|"Russell"|"USA"
165|2017-12-25 00:00:00|"Russell"|"USA"
166|2018-01-01 00:00:00|"Russell"|"USA"
